EP ID,SMILES,Binding energy (eV),Formation energy in solvent (eV/atom),Formation energy in vaccum (eV/atom),LUMO_sol (eV),HOMO_sol (eV),LUMO_cls (eV),HOMO_cls (eV),LUMO change (eV),HOMO change (eV),Dielectric constant of solvents,Dielectric constant of electrolytes,Viscosity of solvents (mPa s),Viscosity of electrolytes (mPa s),Diffusivity of Li (m^2/s),Diffusivity of FSI (m^2/s),Diffusivity of solvens (m^2/s),Transference number of Li,Similarity of solvents
ep-774248,FCC(F)(F)OC(F)C(F)(F)F,-0.650455385,-1.682171696,-1.65887549,4.699405326,-10.29079969,1.893912048,-11.51912138,-2.805493278,-1.228321693,5.4324,6.9643,0.3485399,0.63966449,1.87E-10,1.78E-10,2.46E-09,0.512084938,0.123985738
ep-774250,FC(F)C(F)(F)OCC(F)(F)F,-0.420494734,-1.699814467,-1.671459483,4.776413531,-9.983583208,3.342101692,-11.24129319,-1.43431184,-1.257709984,19.425,20.3587,0.62434279,0.88056015,1.73E-10,1.77E-10,1.57E-09,0.494166268,0.329294456
ep-774252,FC(OCC(F)(F)F)C(F)(F)F,-0.469184056,-1.700465544,-1.669887028,4.580219482,-9.769429648,3.462375991,-11.08945369,-1.11784349,-1.320024044,18.3979,22.0435,0.63338453,0.63917151,3.05E-10,3.08E-10,2.34E-09,0.497553916,0.239102954
ep-774466,COC(F)(F)C(F)(F)OC(F)F,-0.410791156,-1.584170909,-1.561880877,4.613689479,-9.582487467,4.327153648,-10.78849583,-0.286535831,-1.206008362,15.0923,14.6682,0.43673745,0.90082858,2.65E-10,2.64E-10,2.17E-09,0.500755319,0.033625965
ep-774472,COC(F)(F)C(F)OC(F)(F)F,-0.495451201,-1.596708212,-1.576367196,4.771515483,-9.457043005,2.869440021,-10.84645607,-1.902075462,-1.389413063,14.4028,16.3125,0.50555606,0.91740369,3.47E-10,3.33E-10,1.60E-09,0.510065547,0.208157203
ep-774670,COC(C)(F)C(F)(F)C(F)(F)F,-0.486855126,-1.202778927,-1.18398826,4.346473727,-9.128329535,1.219886165,-9.825212977,-3.126587562,-0.696883442,16.9404,18.658,0.61372954,0.97760647,1.18E-10,1.16E-10,9.58E-10,0.505757224,0.095540738
ep-775063,CC(C)(F)OC(F)(F)C(F)(F)F,-0.598927916,-1.227104994,-1.211932382,4.673010287,-9.898683703,1.507510452,-11.03802418,-3.165499835,-1.139340481,5.6756,7.0542,0.77830524,1.6425756,1.09E-10,1.07E-10,1.03E-09,0.505914354,0.116695255
ep-775218,CC(F)C(F)(F)OC(F)C(F)F,-0.823745616,-1.220581973,-1.193651626,4.728521503,-10.07746247,2.764404094,-11.795589,-1.964117408,-1.718126533,5.8231,9.8892,0.9244603,1.39610011,1.28E-10,1.28E-10,7.13E-10,0.498863715,0.422980578
ep-775223,CCOC(F)(F)C(F)(F)C(F)F,-0.367870646,-1.206973108,-1.185818981,4.709201423,-9.571875029,1.890646682,-10.28290839,-2.81855474,-0.711033359,11.5967,12.1979,0.54572861,1.01801054,1.62E-10,1.58E-10,1.73E-09,0.506009907,0.198064977
ep-775226,CCOC(F)(F)C(F)C(F)(F)F,-0.494406284,-1.208696042,-1.18701991,4.709473537,-9.464390078,3.864288074,-10.95856695,-0.845185463,-1.494176876,10.2923,13.3718,0.3787401,0.65039296,1.93E-10,1.89E-10,2.15E-09,0.504831713,0.115428527
ep-775267,CC(F)COC(F)(F)C(F)(F)F,-0.670414932,-1.224122929,-1.200265503,4.628655738,-9.699496401,3.020735294,-10.98196874,-1.607920444,-1.282472339,16.9484,14.7047,0.46004307,0.91736764,1.49E-10,1.51E-10,1.23E-09,0.497012284,0.248841034
ep-776364,FC1(F)OCC(F)(C(F)(F)F)O1,-0.286897743,-1.765534826,-1.744229287,4.554368671,-9.990113939,4.318990234,-11.02224158,-0.235378437,-1.032127643,13.0514,15.4858,0.81125558,1.5812315,2.82E-10,2.73E-10,1.40E-09,0.508253751,0.021221425
ep-776366,FC1OC(F)C(F)(C(F)(F)F)O1,-0.37237413,-1.752955005,-1.726024485,4.822944991,-10.06358467,2.594605083,-10.77869973,-2.228339908,-0.715115066,51.1479,49.0859,0.73262123,1.89076999,1.31E-10,1.24E-10,9.02E-10,0.513558936,0.092212374
ep-776369,FC1OC(F)(F)OC1C(F)(F)F,-0.598851724,-1.766891702,-1.751248852,4.742399306,-10.30059579,0.450348339,-12.15260231,-4.292050967,-1.852006523,2.748,3.6365,0.59961531,1.99151496,1.69E-10,1.71E-10,1.59E-09,0.497216622,0.162665669
ep-777868,CCC(C)OC(F)(F)C(F)(F)F,-0.563825236,-0.88320077,-0.870281325,4.671377605,-9.377585776,3.084954151,-11.15884271,-1.586423454,-1.781256935,5.8458,6.9876,0.36871571,1.07257231,1.18E-10,1.25E-10,1.63E-09,0.48662147,0.037103406
ep-780184,CC(C)COC(F)(F)C(F)(F)F,-0.466982656,-0.883056679,-0.869483643,4.665118987,-9.492417799,3.036517894,-11.19884344,-1.628601093,-1.70642564,7.2897,8.2566,0.53572006,0.56039958,3.79E-10,3.76E-10,2.23E-09,0.502112339,0.236627934
ep-784653,CCCOC(F)(F)OC(F)(F)F,-0.45068576,-1.173303346,-1.156110766,4.485523879,-9.508744627,4.281982757,-10.88291932,-0.203541122,-1.37417469,12.1548,13.5332,0.96186197,2.42530974,1.64E-10,1.61E-10,9.32E-10,0.504525874,0.171599998
ep-791297,COC=COC(F)(F)C(F)(F)F,-0.606030086,-1.164819349,-1.149348719,4.692874595,-8.867372401,2.50344696,-10.82985713,-2.189427635,-1.962484726,7.2291,11.0629,0.911136,1.90849804,1.04E-10,1.06E-10,8.17E-10,0.495189872,0.275203918
ep-794120,COC(C)(F)C(F)OC(F)(F)F,-0.646300208,-1.167370406,-1.146568308,4.427835754,-8.92315573,3.146451869,-10.5512126,-1.281383884,-1.628056865,21.7317,22.7585,0.82589662,1.39952622,1.19E-10,1.28E-10,8.15E-10,0.483561923,0.217773112
ep-794358,CCOC(F)C(F)OC(F)(F)F,-0.816123709,-1.162430538,-1.137322884,4.554640784,-8.792268992,4.431645347,-10.32018798,-0.122995438,-1.527918987,11.3357,10.5244,0.54194529,0.80319006,1.46E-10,1.47E-10,1.54E-09,0.497251911,0.149300608
ep-7958,CC1OCOC1F,-0.688039743,-0.60128139,-0.574504031,4.908388724,-8.702471438,4.590559806,-9.438539267,-0.317828918,-0.736067829,9.4887,11.727,0.78806337,1.81912408,1.18E-10,1.23E-10,1.30E-09,0.489559573,0.033331477
ep-8044,CC1COC(C)O1,-1.165906951,-0.284497941,-0.268623942,7.808305491,-8.094024981,3.901023437,-10.08072783,-3.907282054,-1.986702854,2.5957,3.7173,0.4134515,1.07190094,1.21E-10,1.23E-10,1.78E-09,0.494868568,0.356690465
ep-829602,FCOC(F)C(F)(F)OC(F)(F)F,-0.588745418,-1.781931036,-1.76082674,4.886075393,-9.816233221,3.755442554,-11.69681169,-1.130632839,-1.880578472,5.3166,5.259,0.54341429,0.84919586,1.40E-10,1.39E-10,1.99E-09,0.501654738,0.145683117
ep-830125,CCOC(F)(F)C(F)(F)C(F)(F)F,-0.47498008,-1.377618448,-1.363972546,4.545116801,-9.516635927,2.790799133,-11.18414929,-1.754317669,-1.667513366,6.9206,17.6361,0.31649991,0.36755705,1.43E-10,1.43E-10,3.91E-09,0.498994992,0.216734262
ep-830127,FCC(F)(F)C(F)(F)OCC(F)F,-0.683223329,-1.381746112,-1.347306785,4.800903773,-9.705210791,3.568500373,-11.02741174,-1.2324034,-1.322200954,20.3969,19.0459,1.2031924,2.77975309,1.04E-10,9.90E-11,5.11E-10,0.513145986,1.383950243
ep-833940,CCOC(F)(F)C(C)(F)C(F)(F)F,-0.609221981,-1.03950415,-1.021603597,4.662942077,-9.300849684,1.435944523,-10.34005229,-3.226997554,-1.039202602,5.8961,6.1628,0.57769646,2.1678416,1.37E-10,1.33E-10,8.65E-10,0.506555726,0.14794009
ep-846555,CC(F)(COC(F)(F)F)OC(F)F,-0.771796371,-1.354331686,-1.328034036,4.72906573,-9.63065161,4.27436357,-11.20265303,-0.45470216,-1.572001423,9.0001,10.6617,0.70136222,1.16144771,1.62E-10,1.50E-10,1.37E-09,0.519154048,0.198966138
ep-846574,COCC(OC(F)(F)F)C(F)(F)F,-0.783178891,-1.322707193,-1.303846986,5.035465869,-8.245320254,2.515419967,-9.847254194,-2.520045902,-1.601933941,15.4424,14.1191,0.61977635,1.17983185,1.02E-10,1.01E-10,1.18E-09,0.501951143,0.088498356
ep-846751,CC(F)OCC(F)(F)OC(F)(F)F,-0.823666703,-1.338461007,-1.31761351,4.816958488,-9.232277006,3.326046977,-11.32673693,-1.49091151,-2.094459919,3.7634,6.7408,0.63600926,1.02820825,2.33E-10,2.32E-10,1.64E-09,0.500989511,1.160737435
ep-84791,COC(C)C(OC)OC,-1.389135507,-0.350273888,-0.335399674,8.128583434,-7.865449389,6.33236024,-8.798255495,-1.796223194,-0.932806106,10.6334,13.8689,0.72722638,1.22423273,2.87E-10,3.23E-10,1.16E-09,0.470559539,1.02487014
ep-85302,COCOCC(C)OC,-2.026377046,-0.344827944,-0.330423896,8.005315882,-7.676058184,5.58976168,-10.00371963,-2.415554203,-2.327661445,3.6129,5.2079,0.32311628,0.71970354,1.05E-10,9.91E-11,1.53E-09,0.514911211,1.213113918
ep-85392,COCOC(C)COC,-1.746053572,-0.346793316,-0.330161129,7.722589644,-7.805040125,5.615612491,-9.804804442,-2.106977153,-1.999764316,5.6269,7.5851,0.55938925,0.97938483,3.13E-10,3.12E-10,2.00E-09,0.500647646,1.438001673
ep-85746,CCOCC(OC)OC,-1.391712424,-0.352738765,-0.334463603,8.034159945,-7.833884188,6.410729014,-8.782745009,-1.623430931,-0.948860821,12.0759,21.8979,0.83487676,2.1000938,1.58E-10,1.82E-10,7.56E-10,0.46525933,0.532081798
ep-85845,CCOC(COC)OC,-1.705807941,-0.344899167,-0.327327004,8.076881812,-7.762590373,6.1225605,-9.619767058,-1.954321312,-1.857176685,5.7946,17.9483,0.6379122,1.11481348,1.20E-10,1.20E-10,1.21E-09,0.500567222,0.157002187
ep-86709,COCCOC(C)OC,-1.039602609,-0.352080723,-0.332653218,7.943818163,-7.882048331,6.782980693,-8.126950751,-1.160837471,-0.24490242,21.92,22.7196,0.9303992,2.03934659,1.31E-10,1.16E-10,6.29E-10,0.530362649,0.832651506
ep-86886,COCCOCCOC,-2.139968231,-0.332610863,-0.314541915,8.452670969,-7.708983954,6.32882276,-9.752286478,-2.123848209,-2.043302524,5.1717,10.8952,1.00367564,1.99332308,1.18E-10,1.26E-10,8.29E-10,0.484050762,0.561378379
ep-86924,CCOCCOCOC,-1.918889374,-0.346496475,-0.330396093,7.985723689,-7.797420939,5.875209056,-9.795008345,-2.110514633,-1.997587406,5.0764,9.3635,0.6329099,0.86709085,2.63E-10,2.67E-10,1.54E-09,0.496840534,1.701447613
ep-874294,FC(F)(F)OCC(F)(F)OC(F)(F)F,-0.438818877,-2.009508032,-1.994583781,4.86866011,-10.19664831,3.736394588,-11.88593078,-1.132265522,-1.68928247,6.6175,7.133,0.43280679,0.51881673,1.75E-10,1.71E-10,2.86E-09,0.505009268,0.509294353
ep-874591,CC(F)OC(F)(F)C(F)(F)C(F)(F)F,-0.563041548,-1.563409794,-1.547847908,4.585389644,-10.11202092,2.005478706,-11.36292806,-2.579910938,-1.250907139,7.0131,9.5056,0.30728774,0.71979474,1.71E-10,1.69E-10,2.05E-09,0.502785377,0.217515544
ep-874594,CC(F)(F)C(F)(F)OC(F)C(F)(F)F,-0.347957358,-1.584798694,-1.563060581,4.836550681,-10.48889853,2.968761558,-11.62687845,-1.867789123,-1.137979912,16.6973,15.9435,0.51946185,0.75763478,1.05E-10,9.69E-11,2.19E-09,0.519339467,0.441387662
ep-874606,CC(F)(F)OC(F)C(F)(F)C(F)(F)F,-0.545000403,-1.577754877,-1.560496664,4.88444271,-10.06603369,1.943980987,-11.38877887,-2.940461723,-1.322745182,6.2607,7.2285,0.49942998,0.8807638,1.78E-10,1.77E-10,1.84E-09,0.501598818,0.269089995
ep-874627,FC(COC(F)(F)C(F)F)C(F)(F)F,-0.506479974,-1.570196614,-1.543346541,4.759270362,-9.815688994,3.042232284,-11.12210735,-1.717038078,-1.306418354,13.3713,13.1163,1.20534875,2.66558818,1.10E-10,1.03E-10,3.31E-10,0.516948629,0.916861849
ep-875828,CC(C)OC(F)(F)C(F)(F)C(F)(F)F,-0.494281112,-1.176830055,-1.16344387,4.56362054,-9.383300165,2.82426913,-10.97679858,-1.73935141,-1.593498413,7.3509,8.1175,0.51680126,1.13208699,1.18E-10,1.17E-10,1.18E-09,0.501096314,0.996726592
ep-879333,FCOC(F)(F)CC(F)OC(F)(F)F,-0.833147148,-1.516310486,-1.494462612,4.798998977,-9.717728026,2.228884136,-10.76808729,-2.570114841,-1.050359268,6.3272,9.1772,1.08394827,2.88806474,1.08E-10,1.05E-10,5.31E-10,0.505543161,0.133848527
ep-879334,COC(F)(F)C(F)(F)C(F)OC(F)F,-0.608778436,-1.473644904,-1.454767797,4.679541019,-9.497587961,1.766834903,-10.48862642,-2.912706115,-0.99103846,4.9751,6.0291,1.05021901,1.5072925,1.59E-10,1.59E-10,9.34E-10,0.500424482,0.097621238
ep-886903,COC(C(F)(F)F)C(F)(F)OC(F)F,-0.666803982,-1.488591112,-1.465706198,4.754372314,-8.926693209,2.405758106,-10.52481756,-2.348614208,-1.598124347,12.057,13.1998,0.7478114,1.26585072,2.07E-10,1.99E-10,9.67E-10,0.508792925,0.151713475
ep-886906,CC(OC(F)(F)F)C(F)(F)OC(F)F,-0.460054638,-1.52467555,-1.503619671,4.784032718,-9.971338087,2.22915625,-11.01298971,-2.554876468,-1.041651626,11.3606,10.2072,0.78712697,0.78548515,1.14E-10,1.13E-10,1.72E-09,0.501645018,0.224250385
ep-886918,COC(F)(F)C(OC(F)(F)F)C(F)F,-0.532246429,-1.498002812,-1.475688049,4.670561263,-9.39364049,1.723568809,-10.13678328,-2.946992454,-0.743142788,12.5401,13.1146,0.88585646,1.23596474,1.11E-10,1.10E-10,8.91E-10,0.50276844,0.119774295
ep-886929,CC(F)(OC(F)(F)F)C(F)OC(F)F,-0.341467444,-1.512518938,-1.489033798,4.85723133,-10.16535523,2.06235049,-10.55747121,-2.79488084,-0.392115986,9.6774,11.6173,1.02423298,1.85746125,1.15E-10,1.16E-10,7.65E-10,0.497931389,0.076210211
ep-886941,COC(F)(COC(F)(F)F)C(F)(F)F,-1.022222701,-1.484388243,-1.47309996,4.418855998,-9.38221171,3.154615283,-11.9158633,-1.264240715,-2.533651592,2.8394,3.7446,0.43900076,0.69475462,1.95E-10,1.94E-10,2.05E-09,0.501543829,0.217514537
ep-887024,CC(F)(F)OC(F)(F)C(F)OC(F)F,-0.598157834,-1.51535107,-1.48869738,4.837367023,-10.0780067,4.188103496,-11.40075188,-0.649263527,-1.322745182,13.8066,14.3844,1.51220652,1.81239868,1.05E-10,1.05E-10,5.82E-10,0.498704648,1.000552646
ep-887031,CC(F)OC(F)(F)C(F)(F)OC(F)F,-0.50419966,-1.509706427,-1.485503337,4.712738902,-9.966712153,2.609299228,-10.82223794,-2.103439674,-0.855525787,14.7478,21.5418,0.82736774,1.02432959,1.69E-10,1.67E-10,1.26E-09,0.502992561,0.20590875
ep-887038,FCC(F)OC(F)(F)COC(F)(F)F,-0.615681963,-1.506648011,-1.476278249,4.838999705,-9.846709967,3.599521346,-10.3343379,-1.239478359,-0.48762793,26.5025,23.5901,1.62648527,2.35713766,1.01E-10,1.05E-10,4.07E-10,0.491498035,0.092547911
ep-887077,FCOC(F)(F)COC(F)(F)C(F)F,-0.600370119,-1.490682092,-1.463395379,4.840632388,-9.770518103,4.485251765,-11.14714182,-0.355380623,-1.376623714,11.6359,10.6025,1.5911741,2.33758595,1.10E-10,1.14E-10,4.89E-10,0.492285988,0.294783495
ep-887078,COC(F)(F)COC(F)(F)C(F)(F)F,-0.613651994,-1.488898458,-1.47252623,4.609879886,-9.249420176,1.526558418,-10.20862132,-3.083321468,-0.959201145,7.8616,8.7557,0.75045093,0.93063305,1.61E-10,1.55E-10,1.39E-09,0.509585808,0.23042444
ep-9006,COC1CCCO1,-1.248191443,-0.271005098,-0.257459753,7.914701987,-7.923953856,3.875172626,-10.11011613,-4.039529361,-2.186162269,2.1967,9.1629,0.45291682,1.1651034,1.20E-10,1.25E-10,2.05E-09,0.490366881,0.172664314
ep-9007,CCCC1OCO1,-1.586978566,-0.227763174,-0.216740324,6.901622309,-8.334029353,1.275125267,-11.91667964,-5.626497043,-3.582650291,1.1877,1.6923,0.37646891,1.15409443,1.06E-10,1.04E-10,1.62E-09,0.503997654,0.111433765
ep-90404,COC=COC(C)OC,-1.159770785,-0.322400567,-0.299123693,7.237410739,-8.146815058,5.587856883,-8.595530714,-1.649553856,-0.448715656,66.7936,42.6858,1.94659091,4.82256828,1.04E-10,9.79E-11,2.16E-10,0.515885492,0.26285744
ep-904934,FC(OC(F)(F)F)C(F)(F)OC(F)(F)F,-0.519223063,-2.186425092,-2.17628018,4.731514754,-10.79611502,3.333121936,-12.7085308,-1.398392818,-1.912415786,4.1006,4.2328,0.33708049,0.44456562,1.93E-10,1.84E-10,2.84E-09,0.512048228,0.897560478
ep-905072,CC(F)(F)C(F)(F)OC(F)(F)C(F)(F)F,-0.436631082,-1.745790495,-1.734060576,4.674915084,-10.8668646,2.308613479,-12.4304305,-2.366301605,-1.563565895,5.2538,5.4273,0.35465379,0.5907318,2.15E-10,2.12E-10,2.96E-09,0.503340941,0.307543537
ep-905077,FC(F)CC(F)(F)OC(F)(F)C(F)(F)F,-0.726688066,-1.74599322,-1.73238239,4.562804198,-10.79529867,0.983419273,-12.2984553,-3.579384925,-1.503156631,2.9229,3.9834,0.60905157,0.75178744,1.28E-10,1.26E-10,1.96E-09,0.503817077,0.135652815
ep-905087,FCC(F)(F)OC(F)C(F)(F)C(F)(F)F,-0.906892709,-1.720447327,-1.707504688,4.766345321,-10.33461001,1.010902767,-12.36675587,-3.755442554,-2.032145858,2.6797,7.911,0.56565161,0.768881,2.09E-10,2.09E-10,1.64E-09,0.500019024,1.041705824
ep-905089,FCC(F)(F)C(F)OC(F)(F)C(F)(F)F,-0.541732316,-1.727163398,-1.701299889,4.630016307,-10.50277634,2.75052629,-11.05652792,-1.879490017,-0.553751583,15.2218,17.3587,0.98944783,1.46504811,1.40E-10,1.30E-10,8.46E-10,0.519309006,0.06641409
ep-905094,FC(OC(F)C(F)(F)C(F)F)C(F)(F)F,-0.432339848,-1.733002961,-1.702276475,4.834101657,-10.3343379,2.651204753,-10.93815842,-2.182896904,-0.603820522,16.4355,15.7445,0.80704358,1.80108145,2.50E-10,2.48E-10,7.61E-10,0.502050973,0.065153173
ep-905099,FC(COC(F)(F)C(F)(F)F)C(F)(F)F,-0.472163702,-1.73835423,-1.721876681,4.601988586,-10.07773458,2.379363067,-11.89817591,-2.222625518,-1.820441322,5.5753,8.0592,0.59330409,1.0058616,1.03E-10,1.09E-10,1.07E-09,0.485800354,0.520405337
ep-908414,FC(F)OC(F)CC(F)(F)OC(F)(F)F,-0.86827704,-1.678597346,-1.665130578,4.603349155,-9.922629717,0.642732796,-11.97436777,-3.960616359,-2.051738052,2.5001,4.3754,0.67507809,1.33158864,1.14E-10,1.12E-10,1.22E-09,0.505900224,0.31066512
ep-912188,CCC(OC(F)(F)F)C(F)(F)C(F)(F)F,-0.481361149,-1.340892566,-1.327115444,4.891245555,-10.00371963,2.691477596,-11.55476829,-2.199767959,-1.55104866,8.0133,10.5328,1.19099149,2.1490156,1.13E-10,1.08E-10,4.62E-10,0.510510966,0.163419462
ep-913088,FCOC(F)(CF)C(F)(F)OC(F)(F)F,-0.966333248,-1.639048327,-1.623247824,4.598995334,-9.849703219,1.874047741,-11.43340553,-2.724947593,-1.583702316,4.0109,6.322,0.82742131,1.32475664,1.39E-10,1.35E-10,1.03E-09,0.507788251,0.214967281
ep-913089,CC(F)(OC(F)F)C(F)(F)OC(F)(F)F,-0.643614444,-1.664982204,-1.649008551,4.536953387,-10.24508457,1.783978073,-12.03722606,-2.752975315,-1.792141487,4.291,7.9992,0.51391,0.8989106,2.08E-10,1.97E-10,1.64E-09,0.513778064,0.09762338
ep-913090,COC(C(F)(F)F)C(F)(F)OC(F)(F)F,-0.618852089,-1.653191083,-1.636176094,4.798182635,-8.975945807,3.204139995,-10.59964885,-1.59404264,-1.623703045,12.1459,14.0478,0.46546786,0.607686,1.82E-10,1.87E-10,1.57E-09,0.493330517,0.104310392
ep-913092,FCC(OC(F)F)C(F)(F)OC(F)(F)F,-0.849182815,-1.662086197,-1.64136645,4.668656467,-9.883173216,2.772295394,-11.63313706,-1.896361072,-1.749963848,5.2171,5.297,0.84781251,1.44612692,1.57E-10,1.53E-10,9.05E-10,0.505643715,0.148860343
ep-913095,FCOC(F)(C(F)F)C(F)(F)OC(F)F,-0.655255473,-1.64136688,-1.618045008,4.471101848,-10.02385605,2.416370544,-11.08890946,-2.054731304,-1.065053413,7.2031,8.7723,1.14021273,2.12166732,1.16E-10,1.14E-10,5.98E-10,0.503532636,0.20266006
ep-913097,CC(F)(OC(F)(F)F)C(F)(F)OC(F)F,-0.49092867,-1.679217193,-1.663705704,4.724439796,-10.48372837,1.656900928,-11.60483723,-3.067538867,-1.121108856,5.3308,8.0891,0.48349729,1.12678676,1.84E-10,1.80E-10,1.17E-09,0.505357811,0.341975041
ep-913106,COC(F)(F)C(F)(OC(F)F)C(F)(F)F,-0.482131231,-1.646470445,-1.62933902,4.32443251,-9.672557135,4.267288612,-11.01326183,-0.057143898,-1.340704693,13.7018,14.2421,0.66057911,1.11413292,1.41E-10,1.39E-10,1.09E-09,0.50525709,0.875688995
ep-913108,COC(F)(F)C(OC(F)(F)F)C(F)(F)F,-0.529544339,-1.666476682,-1.651302184,4.649880614,-9.48316593,1.198933403,-10.57597495,-3.450947212,-1.092809021,5.8402,5.7771,0.62834442,0.9105551,2.19E-10,2.20E-10,1.36E-09,0.499582538,0.162414791
ep-913124,COC(F)C(F)(OC(F)(F)F)C(F)(F)F,-0.525805496,-1.639299674,-1.622992896,4.426747298,-9.258399931,2.822364334,-10.99557443,-1.604382965,-1.737174499,13.2183,16.493,0.80323399,1.76850744,2.23E-10,2.35E-10,8.21E-10,0.486720372,0.150133428
ep-913132,FC(F)OCC(OC(F)(F)F)C(F)(F)F,-0.59126247,-1.677615588,-1.655098744,4.82784304,-9.686979166,2.743723445,-10.9397911,-2.084119594,-1.252811935,7.8713,8.3953,1.35913557,2.83656337,1.05E-10,9.58E-11,4.72E-10,0.521943297,0.178157785
ep-913172,CC(F)OC(F)(F)C(F)(F)OC(F)(F)F,-0.532722629,-1.667195492,-1.652570378,4.576409888,-10.12644295,2.274599254,-11.28972945,-2.301810634,-1.163286495,8.4161,10.6786,0.6342431,1.00248928,1.05E-10,1.08E-10,1.31E-09,0.493750773,0.221739957
ep-913180,FC(F)OCC(F)(F)OC(F)C(F)(F)F,-0.533212433,-1.673454539,-1.648286733,4.8980484,-9.688611849,2.229700477,-10.56536251,-2.668347923,-0.876750664,9.5934,9.2046,1.21220653,1.84145723,1.03E-10,1.05E-10,5.78E-10,0.494974114,0.701759081
