EP ID,SMILES,Binding energy (eV),Formation energy in solvent (eV/atom),Formation energy in vaccum (eV/atom),LUMO_sol (eV),HOMO_sol (eV),LUMO_cls (eV),HOMO_cls (eV),LUMO change (eV),HOMO change (eV),Dielectric constant of solvents,Dielectric constant of electrolytes,Viscosity of solvents (mPa s),Viscosity of electrolytes (mPa s),Diffusivity of Li (m^2/s),Diffusivity of FSI (m^2/s),Diffusivity of solvens (m^2/s),Transference number of Li,Similarity of solvents
ep-913190,COC(F)(F)C(F)OC(F)(F)C(F)(F)F,-0.567215774,-1.649507952,-1.632666828,4.645798907,-9.408606749,4.368787059,-10.93217192,-0.277011848,-1.523565166,11.1183,11.8815,0.50091982,0.82651102,2.19E-10,2.19E-10,1.54E-09,0.500194826,0.207369605
ep-913212,FC(F)OC(F)(F)COC(F)C(F)(F)F,-0.482923082,-1.670584598,-1.639559757,4.581580051,-9.748748999,3.452852008,-10.73951534,-1.128728042,-0.990766346,22.7299,22.7145,1.33754866,2.19932808,1.16E-10,1.18E-10,5.26E-10,0.4971814,0.193345062
ep-91924,CCC(OC)OCOC,-1.794878952,-0.356851351,-0.343616919,7.438774951,-7.958784422,5.483365184,-10.1963762,-1.955409767,-2.237591777,3.6488,6.2505,0.55701069,0.68217922,2.85E-10,2.96E-10,2.39E-09,0.490547694,1.060408144
ep-92297,COC(C)OC(C)OC,-1.077747522,-0.37208511,-0.353000113,7.835516871,-7.956607512,6.327734305,-8.493488039,-1.507782566,-0.536880527,28.4322,23.6738,0.59723707,1.34430351,2.28E-10,2.42E-10,1.26E-09,0.485796129,1.403767186
ep-923050,FC(F)C(F)(F)OC(F)(F)C(F)C(F)(F)F,-0.359214706,-1.90052126,-1.883590037,4.484435424,-10.80672745,2.246571533,-11.61136796,-2.237863891,-0.804640507,4.3508,6.6779,0.47446539,0.91027723,5.19E-10,5.19E-10,1.23E-09,0.499892782,0.859764239
ep-923051,FC(F)C(F)C(F)(F)OC(F)(F)C(F)(F)F,-0.54893789,-1.897548568,-1.882697806,4.330146899,-11.10061036,1.810917339,-12.07069605,-2.51922956,-0.970085697,5.0779,6.9037,0.40450566,1.10830617,1.23E-10,1.23E-10,1.59E-09,0.49918662,0.670495113
ep-923052,FC(F)(F)CC(F)(F)OC(F)(F)C(F)(F)F,-0.325584162,-1.936978311,-1.925002129,4.702942805,-10.8431907,1.083012924,-11.57953065,-3.619929881,-0.736339943,3.227,4.046,0.50284367,0.70292173,1.48E-10,1.44E-10,1.73E-09,0.506859912,0.041287987
ep-923053,FC(F)C(F)OC(F)(F)C(F)(F)C(F)(F)F,-0.371144175,-1.897736477,-1.877099971,4.538041843,-10.61107763,2.758145477,-11.22578271,-1.779896366,-0.614705074,12.603,14.9297,0.48199002,1.15182885,1.98E-10,2.07E-10,1.51E-09,0.487964678,0.151120267
ep-923055,FC(OC(F)(F)C(F)C(F)(F)F)C(F)(F)F,-0.461007037,-1.913562465,-1.898417064,4.499945911,-10.614343,1.170905681,-12.24757002,-3.329040229,-1.633227028,3.5624,5.394,0.74581733,0.6367125,2.52E-10,2.59E-10,2.21E-09,0.492336816,0.339421317
ep-923057,FC(F)C(F)(F)OC(F)C(F)(F)C(F)(F)F,-0.454277662,-1.899614214,-1.879718613,4.742943534,-10.52508967,3.06917155,-11.85599827,-1.673771984,-1.330908596,11.6141,12.4302,0.42506303,0.9560992,2.19E-10,2.21E-10,1.87E-09,0.498033459,1.030036083
ep-927548,COC(F)(C(F)(F)F)C(F)(F)OC(F)(F)F,-0.487804804,-1.803700286,-1.795136292,4.154361385,-9.748476885,2.34589307,-11.66851186,-1.808468315,-1.920034973,4.9926,7.1154,0.48953388,0.44213872,5.28E-10,5.32E-10,2.60E-09,0.498147533,0.136639045
ep-927549,FCOC(F)(C(F)F)C(F)(F)OC(F)(F)F,-0.506286773,-1.796006053,-1.778495244,4.778862556,-9.991474508,2.619367439,-11.86470591,-2.159495117,-1.873231399,4.7078,5.4175,0.81376477,1.30411163,1.50E-10,1.51E-10,9.85E-10,0.498656154,0.218129358
ep-927564,FCOC(F)(C(F)OC(F)(F)F)C(F)(F)F,-0.728576536,-1.805445968,-1.792934032,4.684166953,-10.31909952,1.490639396,-11.64837544,-3.193527557,-1.329275913,3.7351,6.4749,0.66331369,1.1251554,1.57E-10,1.54E-10,1.32E-09,0.505355764,0.294020216
ep-927568,FC(F)C(OC(F)(F)F)C(F)OC(F)(F)F,-0.792232117,-1.835354568,-1.814175951,4.771787597,-10.26168351,2.566577362,-12.26117571,-2.205210235,-1.999492202,4.0076,4.2639,0.45929953,0.69565083,1.03E-10,1.03E-10,1.65E-09,0.500753513,0.146395234
ep-927575,FC(F)(F)OCC(OC(F)(F)F)C(F)(F)F,-0.664714148,-1.852173493,-1.835482462,4.749474265,-10.01324361,2.889576442,-11.79912648,-1.859897823,-1.785882869,4.9912,5.1462,0.68756254,1.08121201,1.24E-10,1.21E-10,1.50E-09,0.506432786,0.210489596
ep-927588,COC(F)(F)C(F)(F)OC(F)(F)C(F)(F)F,-0.469529641,-1.804250815,-1.794543657,4.708657195,-9.657590876,1.852822864,-11.52429154,-2.855834331,-1.866700668,5.4719,8.0862,0.44118786,0.67054181,1.48E-10,1.43E-10,1.77E-09,0.508130954,0.167576022
ep-927601,FC(F)OC(F)(F)C(F)(F)OCC(F)(F)F,-0.467388105,-1.83688571,-1.815118611,4.427019412,-10.16045718,2.472425987,-10.85598005,-1.954593425,-0.695522873,10.3066,12.7321,0.83972188,0.89557175,1.28E-10,1.27E-10,1.56E-09,0.500324293,0.185991672
ep-932052,FC(C(F)(F)F)C(F)(F)OC(F)(F)C(F)(F)F,-0.485652383,-2.073646615,-2.066002031,4.308377795,-11.07992971,0.393748669,-12.93846696,-3.914629127,-1.858537254,2.6434,3.4195,0.41275011,0.62321634,1.83E-10,1.84E-10,2.29E-09,0.498272761,0.214206122
ep-932053,FC(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,-0.428165622,-2.072762396,-2.063176885,4.43763185,-10.7819651,2.034594883,-12.81601575,-2.403036968,-2.034050655,3.648,3.7734,0.34686589,0.48628361,3.08E-10,3.06E-10,2.93E-09,0.501902211,0.369458763
ep-933188,FC(F)OC(F)C(F)(F)C(F)(F)OC(F)(F)F,-0.706255041,-1.977703078,-1.967421903,4.657227687,-10.34495033,0.902329361,-12.64213503,-3.754898326,-2.2971847,2.7667,3.1111,0.60388202,0.74075851,1.08E-10,1.05E-10,1.68E-09,0.507999588,0.135493358
ep-933192,FC(F)(F)OC(F)(F)CC(F)(F)OC(F)(F)F,-0.478803279,-2.018115415,-2.007747736,4.651513297,-10.79638713,1.450366554,-12.1267515,-3.201146743,-1.330364368,3.3752,4.4096,0.43013483,0.6611159,1.06E-10,1.10E-10,2.36E-09,0.490664934,0.466903748
ep-933194,FC(F)OC(F)(F)C(F)(F)C(F)OC(F)(F)F,-0.313551289,-1.985413924,-1.968910079,4.65532289,-10.6064517,2.134460647,-11.03530305,-2.520862243,-0.428851349,6.619,7.3764,0.58072021,0.64534387,1.34E-10,1.38E-10,1.57E-09,0.492819834,0.256919915
ep-934222,FC(F)C(OC(F)(F)F)C(F)(F)OC(F)(F)F,-0.293433916,-2.002622257,-1.985939963,4.792468246,-10.52699447,2.563856224,-10.95067565,-2.228612022,-0.423681187,13.2185,13.7206,0.59216865,1.136921,1.25E-10,1.32E-10,1.06E-09,0.48706561,0.070056453
ep-934233,FCC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)F,-0.525783727,-1.980504275,-1.9680164,4.6338259,-10.79529867,1.875680423,-11.69926072,-2.758145477,-0.903962044,4.8915,6.8214,0.43900937,0.68249549,2.21E-10,2.18E-10,1.75E-09,0.503148376,0.087135757
ep-934244,FC(F)OC(F)(F)C(F)OC(F)(F)C(F)(F)F,-0.36197394,-1.991401143,-1.975944077,4.599811675,-10.57243747,1.530912239,-11.69191364,-3.068899436,-1.119476173,5.0564,6.1503,0.53404107,0.73921723,1.86E-10,1.85E-10,1.51E-09,0.500968255,0.358947843
ep-934246,FC(OC(F)C(F)(F)OC(F)(F)F)C(F)(F)F,-0.456661379,-1.992042616,-1.976881151,4.664030532,-10.2948814,1.55893996,-11.7757247,-3.105090572,-1.4808433,4.4718,5.5936,0.48376873,0.77209973,1.38E-10,1.36E-10,1.50E-09,0.504069614,0.410310718
ep-934247,FC(F)(F)OC(F)(F)COC(F)(F)C(F)(F)F,-0.532553918,-1.994893223,-1.982810224,4.568790702,-10.23229522,3.498567127,-12.14362255,-1.070223575,-1.911327331,4.9451,11.4512,0.41662543,0.85369048,2.68E-10,2.58E-10,2.41E-09,0.508952921,0.221122817
ep-936441,FC(F)OC(F)(F)C(F)(F)C(F)(F)OC(F)(F)F,-0.543680651,-2.138184392,-2.132078302,4.354637141,-10.73189616,2.271878116,-13.06554411,-2.082759025,-2.333647949,2.8389,3.0053,0.470205,0.66027098,1.54E-10,1.61E-10,2.50E-09,0.48933697,0.324651186
ep-936443,FC(C(F)(F)OC(F)(F)F)C(F)(F)OC(F)(F)F,-0.501981933,-2.152597687,-2.146337065,4.527157291,-11.03149345,1.23022649,-12.52920781,-3.296930801,-1.497714355,2.6401,4.0162,0.38886175,0.58200453,2.18E-10,2.24E-10,2.29E-09,0.493105733,0.156420721
ep-936701,COC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,-0.653911231,-1.731192917,-1.724900998,4.030005378,-9.911473051,1.630233776,-12.40430757,-2.399771602,-2.492834522,3.191,2.9267,0.82202375,1.99604631,1.09E-10,1.14E-10,7.08E-10,0.489295393,0.142302783
ep-9508,FC1COC(F)O1,-0.491638887,-1.106440263,-1.07014424,4.664846873,-9.205609854,4.48770079,-10.07065962,-0.177146084,-0.86504977,9.7486,10.37,0.85915014,1.91090651,1.22E-10,1.21E-10,1.07E-09,0.50125233,0.023330777
ep-959248,COCCCCOC(F)(F)F,-0.43514262,-0.692587276,-0.674242724,5.040908145,-7.847761992,4.105380901,-8.107358557,-0.935527244,-0.259596565,9.4842,9.9614,0.5542015,0.82973437,1.08E-10,9.89E-11,1.20E-09,0.523077393,0.01616149
ep-959277,COC(F)CCCOC(F)(F)F,-0.62746449,-0.854934125,-0.832187019,4.663758418,-8.609952746,1.109680076,-9.483710158,-3.554078342,-0.873757412,11.4709,12.0509,0.94959388,1.901262,1.05E-10,1.00E-10,6.75E-10,0.510994033,0.070295456
ep-959327,COCCCC(F)(F)OC(F)(F)F,-0.813356312,-0.988215262,-0.970719334,4.943763518,-7.869531096,4.739678168,-9.57622885,-0.20408535,-1.706697754,11.0998,10.8842,0.66711625,0.74277179,1.96E-10,1.89E-10,2.03E-09,0.508348779,0.035387198
ep-959370,COCCC(F)(F)C(F)(F)OCF,-0.734054187,-0.974262998,-0.952687713,4.863217834,-8.017833117,4.638723949,-9.669019655,-0.224493885,-1.651186538,12.2925,12.6197,0.99879278,1.39357324,1.38E-10,1.34E-10,4.72E-10,0.50671515,0.049552447
ep-959405,COCCC(F)C(F)(F)OC(F)(F)F,-1.114167233,-1.121883295,-1.102766929,4.95818555,-7.939464343,3.174751705,-9.565072184,-1.783433845,-1.625607841,11.7628,11.514,0.66069408,1.05260327,1.06E-10,1.02E-10,1.16E-09,0.509633808,0.248039537
ep-959408,FCOCCCC(F)(F)OC(F)(F)F,-0.584247377,-1.148819593,-1.128611927,4.784849059,-8.708730055,1.446556961,-9.63854291,-3.338292098,-0.929812855,9.1003,11.2766,0.89674927,1.27228209,1.48E-10,1.53E-10,8.29E-10,0.491765992,0.051427076
ep-959517,COC(F)(F)CCC(F)(F)OC(F)(F)F,-0.65732898,-1.307150413,-1.289449905,4.868115882,-9.049416533,1.173082592,-10.0445367,-3.69503329,-0.995120167,7.1097,8.1458,1.05548068,1.2227907,1.77E-10,1.82E-10,8.47E-10,0.492130769,0.187537121
ep-959518,FCOC(F)CCC(F)(F)OC(F)(F)F,-0.560236055,-1.301993362,-1.284029645,4.80063166,-9.260848955,1.246281204,-10.4467209,-3.554350456,-1.18587194,4.5152,5.5282,1.01911517,1.69194931,1.50E-10,1.39E-10,7.31E-10,0.517889955,0.077171917
ep-959551,COC(F)(F)C(F)(F)CCOC(F)(F)F,-0.832221961,-1.289794624,-1.270391425,4.659404597,-9.380851141,1.522476711,-10.39637984,-3.136927886,-1.015528702,6.3451,7.2552,1.0740375,1.89551244,1.18E-10,1.19E-10,7.86E-10,0.498174907,0.18663314
ep-959559,FCOCCC(F)(F)C(F)(F)OC(F)F,-0.995691606,-1.272405191,-1.245305131,4.706480285,-8.562604945,2.940733837,-10.56998845,-1.765746448,-2.007383503,10.9513,12.9504,1.12767808,2.16512272,1.04E-10,1.01E-10,4.83E-10,0.506789059,0.496082844
ep-959564,FCOC(F)CC(F)C(F)(F)OC(F)F,-0.924795076,-1.279141863,-1.253538552,4.56008306,-9.323435129,2.333375835,-11.10714109,-2.226707225,-1.783705959,4.2556,4.3,1.14331833,2.64350247,1.04E-10,1.03E-10,4.73E-10,0.502233465,0.34987155
ep-959636,FC(F)(F)OCCCC(F)(F)OC(F)(F)F,-0.405452283,-1.454593341,-1.438199103,4.900497424,-9.681809004,3.503737289,-11.01734353,-1.396760135,-1.33553453,5.5671,6.0367,0.71061255,1.16247956,1.50E-10,1.50E-10,9.96E-10,0.499211342,0.042708882
ep-959677,COCC(F)(F)C(F)(F)C(F)(F)OC(F)F,-0.724919327,-1.389171123,-1.368855354,4.649608501,-8.423826907,3.181010322,-9.969705404,-1.468598179,-1.545878498,16.6538,17.1335,0.97622864,1.41384294,1.81E-10,1.84E-10,8.14E-10,0.495646931,0.181365284
ep-959730,FC(F)OCCC(F)(F)C(F)(F)OC(F)(F)F,-0.713302788,-1.566741008,-1.554023027,4.732875323,-9.563711615,2.409023471,-11.88076062,-2.323851852,-2.317049007,2.7615,3.5537,1.19210802,1.35729921,1.16E-10,1.15E-10,7.99E-10,0.500815632,0.077656751
ep-959767,COC(F)(F)C(F)(F)C(F)(F)COC(F)(F)F,-0.555757062,-1.559672975,-1.540572689,4.573416637,-9.534867552,3.186996826,-10.81924469,-1.386419811,-1.284377136,22.7218,21.6948,0.80985237,1.28590551,1.30E-10,1.24E-10,9.17E-10,0.513268203,0.161179352
ep-959785,COC(F)(F)C(F)(F)C(F)C(F)(F)OC(F)F,-0.576032261,-1.548061137,-1.529509903,4.467564368,-9.576773077,2.330382583,-10.93679785,-2.137181785,-1.360024772,5.4012,5.6671,1.55348484,1.59766489,1.82E-10,1.82E-10,5.59E-10,0.500539893,0.210127239
ep-959790,FC(F)OC(F)(F)CC(F)C(F)(F)OC(F)F,-0.785225187,-1.580543733,-1.560510591,4.574232978,-10.28535741,1.865340099,-11.2690488,-2.708892879,-0.983691387,4.3885,4.9458,1.45673056,1.46500523,1.56E-10,1.52E-10,7.15E-10,0.507113349,1.087320442
ep-959807,FC(F)OCC(F)C(F)(F)C(F)(F)OC(F)(F)F,-0.498199551,-1.696356401,-1.681572953,4.310554706,-9.713918432,2.031329517,-11.16591767,-2.279225189,-1.451999237,3.5527,4.3111,1.11232074,1.76250868,1.11E-10,1.05E-10,6.26E-10,0.515717365,0.15707586
ep-959811,COC(F)(F)C(F)(F)C(F)C(F)(F)OC(F)(F)F,-0.582119447,-1.691930717,-1.679515154,4.465931686,-9.595821043,2.34589307,-11.53027805,-2.120038616,-1.934457004,4.4952,4.9907,0.97064842,1.3408545,1.32E-10,1.27E-10,8.55E-10,0.509785128,0.227642843
ep-959818,FC(CC(F)C(F)(F)OC(F)(F)F)OC(F)(F)F,-0.818137351,-1.728516665,-1.719127007,4.664846873,-10.45434008,0.265310955,-11.97572834,-4.399535918,-1.521388256,2.0225,2.5233,0.67206313,1.23118448,1.61E-10,1.63E-10,8.18E-10,0.496541313,0.230185056
ep-959824,FC(F)(F)OC(F)(F)CCC(F)(F)OC(F)(F)F,-0.29683806,-1.747840703,-1.733418548,4.773148166,-10.65080625,3.216113002,-11.03394248,-1.557035164,-0.38313623,6.1084,6.2938,0.78228357,1.06508307,1.41E-10,1.45E-10,1.25E-09,0.492676537,0.051529744
ep-959825,COC(F)(F)C(F)(F)C(F)(F)C(F)OC(F)(F)F,-0.418238911,-1.686875956,-1.670399465,4.569607043,-9.636093886,4.359807304,-10.85080989,-0.20979974,-1.214716003,12.159,14.1835,0.74588621,1.37875525,2.32E-10,2.33E-10,9.46E-10,0.498866217,0.094051606
ep-959827,FC(F)OCC(F)(F)C(F)(F)C(F)OC(F)(F)F,-0.763434314,-1.700633164,-1.683087266,4.780767352,-9.852424357,2.164393165,-11.42061619,-2.616374187,-1.568191829,3.8384,7.0516,0.99971165,1.7032642,1.07E-10,1.05E-10,6.94E-10,0.504821497,0.335254481
ep-959844,COC(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)F,-0.349527455,-1.674714943,-1.66093176,4.51491217,-9.694326239,2.302899089,-10.41216244,-2.21201308,-0.717836204,7.5968,7.3192,1.08002323,1.06722301,1.08E-10,1.11E-10,9.80E-10,0.49259562,0.095296926
ep-959849,FC(F)OC(F)(F)CC(F)(F)C(F)(F)OC(F)F,-0.411329941,-1.724984504,-1.702178275,4.561987857,-10.29651408,2.394873554,-10.70767803,-2.167114303,-0.411163952,7.3609,7.8805,0.9684361,2.32410632,1.19E-10,1.17E-10,6.21E-10,0.504460569,0.180002498
ep-959856,COC(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)F,-0.374537434,-1.818575988,-1.810160374,4.549198508,-9.73595965,0.910220661,-10.7800603,-3.638977847,-1.044100651,5.7978,9.145,0.55220212,0.75519544,1.14E-10,1.14E-10,1.49E-09,0.498836639,0.123498696
ep-959858,FC(F)OCC(F)(F)C(F)(F)C(F)(F)OC(F)(F)F,-0.907415168,-1.827002981,-1.816104205,4.646343135,-9.861676226,1.141789505,-12.26144783,-3.50455363,-2.399771602,2.5089,3.0102,0.81586443,1.0241329,1.10E-10,1.10E-10,1.14E-09,0.501402065,0.689693407
ep-959862,FC(F)OC(F)(F)CC(F)(F)C(F)(F)OC(F)(F)F,-0.582326253,-1.8703705,-1.85578755,4.550831191,-10.33270521,1.940987735,-11.66987243,-2.609843456,-1.337167213,4.558,5.1426,0.68142479,1.64791102,1.06E-10,1.08E-10,8.48E-10,0.494691679,0.476082533
ep-959870,FC(F)OC(F)(F)C(F)(F)CC(F)(F)OC(F)(F)F,-0.39021391,-1.869727074,-1.854613626,4.623485576,-10.65407161,2.172284465,-11.23340189,-2.45120111,-0.57933028,5.8711,7.6239,0.74323606,1.54048128,1.10E-10,1.06E-10,7.76E-10,0.50887556,0.540282615
ep-959871,FC(OC(F)(F)F)C(F)(F)CC(F)(F)OC(F)(F)F,-0.829296738,-1.870014031,-1.85938576,4.654506549,-10.68618104,1.016617157,-12.2668901,-3.637889392,-1.580709064,2.7478,3.1848,0.78613785,1.02731636,1.06E-10,1.05E-10,1.15E-09,0.50310997,0.13638878
ep-959879,FCOC(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)F,-0.474941984,-1.825972288,-1.8079847,4.527701518,-10.24644514,1.840033516,-11.19530596,-2.687668003,-0.948860821,8.8127,9.5988,0.95097941,1.10502195,2.35E-10,2.30E-10,7.24E-10,0.504631811,0.062699123
ep-959884,FC(F)(F)OCC(F)(F)C(F)(F)C(F)(F)OC(F)(F)F,-0.573286633,-1.986976008,-1.977984626,4.538313956,-10.21351937,1.912415786,-11.88837981,-2.62589817,-1.674860439,3.71,5.4821,0.6447352,0.78038506,2.43E-10,2.44E-10,1.70E-09,0.49949123,0.385356948
ep-959885,FC(F)OC(F)(F)C(F)C(F)(F)C(F)(F)OC(F)(F)F,-0.480256367,-1.983697161,-1.971806159,4.445795264,-10.55338951,2.105616584,-11.54660488,-2.34017868,-0.99321537,3.6771,4.5866,0.73180808,0.93165269,1.10E-10,1.06E-10,1.01E-09,0.507803793,0.156733458
ep-959887,FC(F)(F)OC(F)(F)CC(F)(F)C(F)(F)OC(F)(F)F,-0.533454615,-2.011584867,-2.002193354,4.622669234,-10.79203331,1.526286304,-11.93654395,-3.09638293,-1.144510643,3.6964,4.7484,0.85290727,0.99140109,1.19E-10,1.19E-10,1.50E-09,0.500929109,0.625499954
ep-959888,FC(F)OC(F)(F)C(F)(F)C(F)C(F)(F)OC(F)(F)F,-0.452274905,-1.985098547,-1.969961227,4.511646804,-10.63257462,1.4808433,-11.8666107,-3.030803504,-1.234036083,5.6902,6.1866,0.76191998,1.36865139,1.53E-10,1.55E-10,9.77E-10,0.496359937,0.168993314
ep-959890,FC(C(F)C(F)(F)OC(F)(F)F)C(F)(F)OC(F)(F)F,-1.2822356,-1.987218066,-1.983338218,4.287697147,-11.0187041,0.020408535,-13.38473359,-4.267288612,-2.366029491,1.3354,2.8745,0.64833585,1.12072301,1.96E-10,1.93E-10,1.12E-09,0.503567503,0.346013235
ep-959891,FC(F)OC(F)(F)C(F)(F)C(F)(F)C(F)OC(F)(F)F,-0.289175335,-1.981088826,-1.966018545,4.515456397,-10.68699738,2.170107555,-10.98632256,-2.345348842,-0.29932518,6.3731,6.3699,0.91511645,1.15351787,2.59E-10,2.61E-10,1.17E-09,0.4978177,0.144496289
ep-959895,FC(OC(F)(F)F)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)F,-0.530379729,-2.1190758,-2.113264439,4.487972903,-10.76155656,0.751850429,-12.23478068,-3.736122474,-1.473224113,2.7394,3.3969,0.5490808,0.70091586,1.31E-10,1.33E-10,1.93E-09,0.497404585,0.12024208
ep-959912,CCC(OC)C(F)(F)OC,-1.129830103,-0.538893151,-0.522956806,5.066758956,-8.088854819,1.758943603,-9.969161177,-3.307815353,-1.880306358,6.6085,7.7968,0.59673549,0.85805206,1.99E-10,1.97E-10,1.49E-09,0.502116931,0.627447882
ep-959915,CCC(COC(F)F)OC,-1.120755108,-0.539218451,-0.517987885,4.984036361,-7.854020609,2.268612751,-9.369422362,-2.71542361,-1.515401752,15.6277,16.0809,0.92017543,1.24321656,1.03E-10,1.00E-10,1.06E-09,0.50584801,0.745244986
ep-959918,COCC(CC(F)(F)F)OC,-1.629101782,-0.670796032,-0.651852087,5.330709342,-7.864360934,3.419109897,-9.721809733,-1.911599445,-1.857448799,6.655,6.9405,0.44260383,0.81583333,1.30E-10,1.29E-10,1.64E-09,0.501891748,0.577592667
ep-959961,CCC(OC(F)F)C(F)OC,-1.048272155,-0.698332711,-0.673426383,4.39463787,-8.684784041,4.576682002,-9.975691908,0.182044132,-1.290907867,19.3346,15.4321,0.75701505,1.71078231,1.05E-10,1.04E-10,5.61E-10,0.501095908,0.453715331
ep-959962,CCC(COC(F)(F)F)OC,-1.001014152,-0.692498591,-0.676396999,4.953287501,-7.887490607,4.478721034,-9.698952173,-0.474566467,-1.811461567,11.3502,12.6233,0.58662583,0.85930045,2.19E-10,2.21E-10,1.29E-09,0.498066083,0.880722745
ep-960012,COCC(CCF)OC(F)(F)F,-0.690458835,-0.834027869,-0.814017486,4.958729777,-8.029261897,4.785121173,-9.511465765,-0.173608604,-1.482203869,20.235,17.781,1.46019041,2.07022722,1.13E-10,1.11E-10,5.33E-10,0.504627179,0.172685979
ep-960042,CCC(F)(COC(F)(F)F)OC,-0.890946841,-0.850242141,-0.831774024,4.327969989,-8.787370943,4.568518588,-10.42440756,0.240548599,-1.637036621,12.4786,14.3484,1.0272657,1.73923125,1.17E-10,1.10E-10,5.55E-10,0.51425699,0.283301718
ep-960046,CCC(OC)C(F)(F)OC(F)F,-0.918430334,-0.843268853,-0.824310561,4.879816775,-8.247497164,4.518721763,-9.921269148,-0.361095013,-1.673771984,10.7925,16.0458,0.53544618,0.96388381,1.14E-10,1.11E-10,1.66E-09,0.505981048,0.327704951
